speaker,utterance,start_time,end_time
B,Oh.,1707.49,1707.63
B,"That I Yeah don't , I think know so.",1711.24,1712.13
A,.,1712.18,1712.18
D,"They are utterances , aren't they?",1742.75,1744.75
D,"The segments are Ye utterances that's aren't , the impression I get , yeah they?",1744.75,1747.54
D,Yeah.,1747.54,1747.59
D,.,1747.77,1747.77
B,"Yeah that's , um Alright , okay.",1748.2,1751.31
B,Mm-hmm.,1751.33,1751.68
A,Oh.,1752.23,1752.42
B,"There Well there , that's are easy time stamps.",1768.7,1769.88
B,"um for , well segments , um and for th um segments is for example when when you look at the data what , is displayed in one line.",1770.39,1781.28
A,Hmm What.,1783.64,1783.86
B,when when you look at it in the Ye hmm?,1783.99,1786.95
A,Mm.,1787.21,1787.43
D,"Well it's I close think enough so , isn't it Isn't.",1789.52,1790.96
A,Yeah?,1791.01,1791.32
D,"It may uh , not be exact every time , but Um it's a so for sort ex of size um I we're looking I for compared.",1791.32,1795.22
B,it with what I did for the pause um duration extraction Um.,1795.49,1800.27
B,and basically it's uh words that are uttered in a sequence without pauses.,1801.04,1806.52
B,But sometimes um however there are um short pauses in it and they're indicated by square brackets pause or Right.,1806.52,1814.35
B,something in the data.,1814.74,1816.32
B,Um someti uh but uh the annotators decided what was one segment and what wasn't.,1820.55,1826.67
B,"I Yeah think yeah , so.",1836.07,1836.99
B,.,1837.15,1837.15
A,Okay.,1840.72,1841.12
A,"Topics yeah ,.",1850.38,1851.11
A,"Yeah , I think that's the right one.",1858.96,1859.86
A,Hmm Yeah.,1870.8,1871.03
B,"but , um I think for some annotations um an uttera ca utterance can have several um types.",1871.15,1881.91
B,For example for the dialogue acts and so on.,1881.91,1883.84
B,Okay.,1886.55,1887.19
B,"Yeah that , should be Hmm for.",1887.19,1888.25
B,Yeah Mm-hmm.,1891.16,1892.39
B,Should.,1892.39,1892.62
B,"be yeah ,.",1892.65,1892.99
D,Yeah.,1923.49,1923.75
D,But why don't we just write it as a new X_M_L_ file?,1931.62,1934.73
D,Can NITE handle just loading arbitrary uh new like attributes and stuff?,1934.73,1940.41
D,"I mean I , would have thought they'd make it able to.",1941.75,1943.54
D,Yeah.,1944.98,1945.27
D,So why do we need to have two X_M_L_ trees in memory at once?,1949.19,1952.21
D,"The other thing is that would mean we'd be using their parser as well , which means we wouldn't have to parse anything which , be quite nice.",1980.46,1986.8
D,'Cause their parser is probably much faster than anything we've come up with anyway.,1986.8,1990.01
A,Mm.,2026.47,2026.78
D,"Yeah , I mean we can process it in chunks if it gets too big basically.",2051.06,2054.59
D,We can just process it all in chunks if it gets too big to load it into memory.,2054.59,2058.95
A,Hmm.,2059.91,2060.09
D,I think we probably want to store Sorry I.,2082.98,2086.16
D,think we probably want to store um a hierarchical information density as well.,2086.19,2092.3
D,So like an informan mation density score for each meeting and each topic segment 'Cause.,2092.3,2098.2
D,otherwise we'd be recalculating the same thing over and over and over again.,2098.34,2101.45
A,"Yeah , that'd be much more efficient to Yeah do that.",2101.65,2103.21
A,.,2103.35,2103.35
A,Yeah.,2103.35,2103.58
D,And that will obviously make it much easier to display.,2104.99,2108.49
D,"Well it may not for the whole meeting but , like Yeah , exactly.",2111.44,2127.08
D,Yeah.,2130.42,2130.7
D,"Well , we can start off like that.",2144.53,2148.15
D,Well I was gonna start off I've v got sort of half-way through implementing one that does just I_D_F_.,2148.15,2153.46
D,And then just I can change that to work on whatever.,2155.09,2158.63
D,Yeah Hmm.,2169.54,2169.88
D,.,2169.88,2169.88
D,And it should be weighted by stuff like the hot spots and um the key-words in the search and stuff like that.,2171.38,2177.56
A,Hmm.,2188.06,2188.16
D,Did he not say something about named entities So?,2207.6,2209.58
D,I thought he said there wasn't very many.,2210.14,2211.63
D,Yeah.,2213.0,2213.44
C,You s uh you said you are currently in uh implementing the idea What.,2234.77,2240.47
D,Yeah exactly are you.,2240.48,2241.94
D,It's not computing T_F_I_D_F_?,2241.94,2243.0
D,", it's just inverse document Okay frequency.",2243.53,2245.26
D,.,2246.51,2246.51
D,'Cause it's really easy to do basically Okay.,2246.51,2248.75
D,There's.,2249.43,2249.43
D,just like for a baseline really.,2249.68,2251.15
C,Mm-hmm.,2251.36,2251.69
A,"Yeah you're , able to do that in Java yeah ,?",2252.6,2253.92
D,"Well , I'm half-way through.",2254.42,2255.68
D,It's Yeah not working.,2255.68,2255.97
D,"yet but , it will do.",2256.28,2257.61
D,Um yeah.,2262.5,2264.29
D,And then averaging it over the utterances.,2264.29,2266.4
D,But it's not like um related to the corpus at all It's.,2267.85,2270.74
D,just working on an arbitrary text file at the moment.,2270.84,2274.35
D,No.,2277.57,2277.86
A,Huh.,2278.06,2278.18
D,It would be useful to know how everyone's gonna store their things though.,2305.09,2309.7
A,Hmm.,2311.17,2311.49
D,Yeah.,2315.51,2315.88
D,Yeah.,2324.66,2325.62
D,Well I've got like a few hours free Yeah Like.,2325.62,2328.47
A,"I've , after had a this b.",2328.58,2329.36
A,"I've had a look at the the topic segments , how it's stored.",2329.52,2333.93
A,"And then yeah th , those are few per meeting , and it um well , it gives a time stamp and inside each one there's uh the actual like utterance segments.",2333.93,2344.25
A,And the list of them that occurred.,2345.35,2346.93
A,And they're all numbered.,2346.93,2347.74
A,Um so that's where that's stored.,2349.22,2350.76
A,"Yeah so , I guess um if I'm gonna be segmenting it with a L_C_ seg then that's like same format I'd want to um put it back out in so it'd be equivalent.",2358.32,2369.21
A,"Well , like the integration.",2380.72,2382.38
A,"What do you mean integration ,?",2382.38,2383.35
A,Hmm.,2387.76,2388.23
A,I don't know.,2391.48,2391.75
A,I don't think anyone's been allocated to do that yet.,2391.75,2393.71
A,"Yeah yeah ,.",2400.98,2401.36
A,"Yeah definitely ,.",2403.25,2403.8
A,"Hmm yeah ,.",2420.21,2421.11
D,It's the most boring task Mm-hmm.,2428.69,2430.09
C,.,2430.46,2430.46
A,"Yeah Yeah , it c could.",2431.62,2432.18
A,"be difficult , yeah.",2432.34,2433.32
A,Yeah.,2447.6,2447.94
A,Well I guess the important thing is to get the crucial m modules built.,2449.19,2453.71
D,Or at least um Ye yeah.,2454.29,2456.04
D,simple versions of them.,2456.21,2457.27
A,"Yeah and , then Yeah , and then we'll maybe have to prioritize somebody into just integrating it.",2457.6,2465.84
D,"So maybe we should try doing something really simple like , just displaying a whole meeting.",2505.0,2509.62
D,And like just being able to scroll through it or something like that.,2510.87,2513.85
D,Yeah.,2516.04,2516.51
D,Are you free after this?,2537.81,2539.04
D,How about Friday then.,2546.05,2547.23
D,'Cause I'm off all Friday.,2547.23,2548.35
D,Uh Wednesday I've got a nine 'til twelve.,2552.86,2555.51
D,"Yeah nothing , in the afternoon I've.",2561.21,2563.21
D,got nothing in the afternoon So.,2563.36,2564.74
D,Okay So.,2566.55,2567.19
D,you ha yeah.,2567.39,2568.03
D,"Where about , just in Appleton Tower?",2570.84,2572.28
D,Uh I'll be in um the Appleton Tower anyway.,2576.72,2580.02
D,Um well I'll be there from twelve.,2582.34,2585.65
D,"I've got some other stuff that needs done on Matlab so , if you're not there at twelve , I can just work on that.",2585.65,2591.3
D,So Yeah.,2591.3,2593.29
A,Mm-hmm.,2617.16,2617.42
A,"Yeah , I Yeah think , I so.",2627.6,2628.2
C,w I w I would need the raw text pretty soon because I have to find out um how I have to put the segments into bins And.,2628.22,2639.72
C,then yeah Uh yeah.,2639.93,2641.45
A,.,2641.61,2641.61
C,"No , that's not necessary.",2644.41,2646.33
A,Hmm.,2649.27,2649.97
A,"Yeah yeah , Why.",2649.97,2650.47
A,"Jasmine w , I thought you just said that you'd uh looked at extracting the text.",2650.47,2654.92
C,"Yes , I did.",2654.98,2656.29
C,But um I've only just got the notes.,2656.29,2659.1
C,I have to still have uh to order everything by the time Yeah So.,2659.1,2664.28
C,"and you you said you did it in Python yeah ,?",2664.43,2666.69
C,"Yeah , I think it's quite easy Yeah after did , the you use uh b the X_L_ uh X_M_L_ parser Yeah in Python.",2667.14,2672.19
C,Yeah?,2672.19,2672.3
A,Right.,2672.3,2672.67
A,.,2672.79,2672.79
A,"Yeah , sounds pretty So good uh So.",2672.79,2674.36
A,"um 'cause yeah , I , was having a look in it a look at it as well and Mm-hmm I noticed.",2675.59,2678.98
A,the um the speakers are all in that separate file?,2679.2,2683.54
A,So did did you have to combine them all and and then re-order them?,2683.54,2686.47
C,"Yeah b , I uh w that's what I was uh thought.",2686.71,2689.66
C,That Yeah you just.,2689.66,2690.02
C,"combine them and then Ye order yeah , c the time stamps Right accordingly.",2690.39,2693.91
A,Yeah.,2694.14,2694.14
A,"so , that's approach um well I , was going to do.",2694.29,2697.49
A,"So yeah , we may as well collaborate.",2697.49,2699.66
C,Okay.,2699.91,2701.15
C,Um what I found out was that there are quite a lot of things without without s time stamps in the beginning.,2701.15,2708.37
A,In the word files?,2708.61,2709.28
C,"Yeah and , Yes uh X_M_L_ , but that's files Yeah.",2709.98,2712.24
C,", that's just an I_D_ or something.",2712.42,2714.27
C,I don't Yeah know.,2714.27,2714.64
C,"Just , everything numbers that's.",2714.64,2715.54
B,a word has a sti time stamp.,2715.83,2717.66
C,"Yes , but what are the other things that's uh some kind of number?",2718.67,2723.05
C,F maybe the file number or something that is in the beginning.,2723.05,2726.71
C,What is that?,2726.71,2727.29
A,I'm Do not you sure know I?,2728.79,2729.58
A,what you mean.,2729.76,2730.41
C,Um I think there are quite a lot of numbers in the beginning where n there is no time stamp for the numbers.,2730.79,2736.29
C,"It's Think they say um quite a lot of numbers and before that uh , um there's this number Was.",2737.75,2744.76
C,"it Yeah , there i are numbers in the um the W_ tag but , there are no time stamps.",2745.14,2753.13
C,Yeah.,2756.88,2757.4
B,That's at the end That's.,2759.5,2761.42
B,"at the end I , think Yeah , her in , time the beginning.",2761.64,2763.53
C,"as well sometimes I , think Oh right.",2763.76,2766.03
C,At.,2766.1,2766.1
C,"least I saw some Yeah maybe ,.",2766.29,2767.56
B,.,2767.92,2767.92
B,Didn't Yeah have a look.,2769.24,2769.7
B,at our meetings.,2769.82,2770.47
C,Yeah.,2775.29,2775.56
A,Hmm Uh.,2776.36,2776.58
B,I I think it wouldn't as it occurs I mean it would be it occurs in every meeting.,2778.65,2785.07
B,"So And I think it even has uh its own annotation , like digits or something.",2785.07,2794.26
B,So that should be really easy to cut out.,2794.26,2797.56
B,Yeah.,2803.23,2803.87
B,I'm sure.,2803.87,2806.36
C,But what it is it actually that numbers?,2808.36,2810.81
B,"Ah it's just to test the system I , think.",2810.97,2812.96
C,"Okay so , but there So are no time stamps annotated to that.",2813.41,2817.56
C,It's it's quite strange.,2817.56,2818.82
B,Mm they have to read numbers from Uh I didn't have a look at that.,2821.05,2835.66
B,So Hmm.,2835.66,2838.42
C,And also um there are different um combinations of letters.,2844.45,2850.42
C,B_R_E_ and something like that.,2850.42,2852.31
C,Is it everything ordered are the time stamps global or uh are they local at any point?,2852.31,2858.58
A,Mm I thought they were local They to th a particular meeting.,2859.11,2861.95
C,Okay.,2862.65,2863.03
D,Yeah.,2885.1,2885.8
D,I'm just building a dictionary.,2885.8,2887.24
D,"Oh mine's , just gonna use the um hash map one in um Java.",2890.34,2894.96
D,'Cause I'm only gonna do it on small documents It's.,2894.96,2897.25
D,just like bef until the information density is up and running Just.,2897.37,2901.8
D,something to get give me something to work with.,2901.99,2903.68
D,"So it's only gonna use quite small documents you , see to , start with.",2905.84,2909.03
C,"Yeah , it's Rainbow.",2918.23,2919.51
C,It's um I think it's just the dictionary in the first place.,2919.51,2923.65
C,"But Um no , I have to bin it up and so I will only have counts for each each bin or something.",2923.65,2943.73
D,Why does it need to be classified into like different segments?,2944.03,2947.36
C,It's because um Rainbow is a text classification system.,2947.73,2951.05
C,And I think it's not possible to have just one class That's.,2951.05,2956.59
C,the problem.,2956.82,2957.6
D,Can we just fill a second class with junk that we don't care about?,2957.6,2961.13
C,"Maybe we could Like , I don't know , copies of Shakespeare or something Yeah sure.",2961.25,2966.03
C,"you , sure , we could do that , but I don't that makes sense.",2966.25,2969.37
D,"'Cause if what we're looking for is the um frequency statistics I , don't see how that would be changed by the classification.",2969.55,2975.45
C,"If we need just frequencies maybe , we should just calculate them by I the using Perl or something.",2978.15,2986.77
C,I don't know.,2986.77,2987.18
D,Well there maybe another tool available?,2988.28,2990.12
C,"Yeah , it's quite easy to just count and s or sort Yeah them.",2991.38,2994.75
C,by um frequency.,2994.85,2996.56
C,Just using a Perl script.,2998.61,3000.69
C,Is it too big?,3005.49,3006.25
C,Yeah.,3010.52,3011.1
C,Hmm.,3019.58,3020.02
C,I don't know how you how many terms you can handle in Perl.,3026.14,3030.46
C,Mm yeah.,3037.74,3038.08
D,Um I can't remember who's got it.,3045.6,3048.3
D,Might be WordNet.,3048.3,3049.47
D,But one of these big corpuses has a list of stop words that you can download and they're just basically lists of really uninteresting boring words that we could filter out before we do that.,3049.47,3061.37
D,"It's like that's one the papers I read , that's um one things they did right at the beginning is they've got this big s stop-list and they just ignore all of those throughout the experiment.",3064.57,3075.13
D,"Yeah , I it would be useful for me as well.",3091.09,3093.72
D,It uh I think that'd be useful for me as well.,3097.1,3100.59
D,Yeah.,3100.59,3100.95
D,Yeah.,3105.95,3106.31
D,Well all you really wanna do is look into getting some sub-set of the ICSI corpus off the DICE machines.,3115.47,3121.68
D,'Cause I hate working on DICE.,3121.68,3123.09
D,It's awful.,3123.09,3123.79
D,Like so I can use my home machine.,3125.51,3127.28
D,ha has a C_D_ burner though.,3130.15,3132.83
D,has a C_D_ burner.,3132.83,3133.99
D,Yeah.,3149.36,3150.52
D,"The right-hand corner , far right.",3150.52,3152.2
D,Yeah Mm-hmm.,3154.3,3154.59
D,.,3154.62,3154.62
D,How big is it without um the WAV files and stuff?,3170.27,3176.7
D,'Cause I could just say at um going over S_C_P_ one night and just leave it going all night if I had to.,3178.12,3183.69
D,"It's yeah I , mean the wave data are obviously not gonna get off there completely.",3192.9,3198.15
D,Really Oh?,3205.83,3206.7
D,right?,3206.95,3207.2
D,"I'll see if I can S_C_P_ it , I suppose.",3214.76,3217.05
D,I've got a Linux box and a Windows box.,3220.97,3223.45
D,So Broad-band.,3223.45,3226.04
D,Put it on to C_D_ I.,3229.32,3230.99
D,can if I get down I can put to C_D_.,3231.13,3233.1
D,Yeah.,3234.71,3235.05
D,I'm not sure if there's enough space.,3247.17,3249.44
D,Is how much do we get?,3249.44,3250.9
D,Really?,3254.02,3254.96
D,Okay.,3254.96,3255.59
D,"Yeah but , I can do it from that session , can't I You?",3272.48,3274.83
D,can compress it from a remote session and S_C_P_ it from the same session?,3274.9,3279.43
D,Do you think?,3300.26,3300.74
D,Yeah Oh.,3305.85,3306.89
D,"no no , I was thinking of SSHing just into some machine and then just SCPing it from there.",3307.0,3312.8
D,Yeah I.,3317.13,3317.51
D,mean it has to go through the gateway But.,3317.61,3319.03
D,Can you not do that?,3321.34,3322.2
D,"Mm , I see.",3328.32,3328.94
B,Uh th yeah.,3334.44,3335.87
D,Yeah.,3336.22,3336.56
B,'Kay.,3338.26,3338.57
B,"Um I just um wondered so , who's uh then doing um the frequencies on on the words , because I'm I think I will also um I could also make use of it um for the agreement and disagreement thing Because.",3338.57,3358.43
B,"I um I in my outline I talked about um using the um discourse acts first , and um then in the chunks of text I found looking for word patterns and so on So.",3358.79,3376.67
B,um I would for example need the um most freq um frequent words.,3377.14,3384.86
B,"So if you cut off all that I'd , won't be use or Yeah , I I but I need it for my chunks then.",3384.86,3401.74
B,I would You know?,3401.74,3403.84
B,"Yeah , but I'd uh I would like to look at the frequency of words in my um in the regions of text I found out to be interesting.",3406.6,3418.96
B,So So I you wouldn't could just need it.,3418.96,3420.34
B,It it would have to be re-calculated only for my segments.,3420.34,3424.01
D,"But th first , uh how big are the chunks?",3425.03,3427.56
B,Huh?,3428.85,3429.05
D,How big are the chunks you're looking at?,3429.17,3430.95
B,Uh uh mm.,3431.35,3433.75
B,"I think it would be , you know , l as as big at as the hot-spot annotation So quite things small then That's.",3433.75,3443.31
B,"quite small yeah ,.",3443.51,3444.21
D,"So that's , you could just some utterances um.",3444.21,3445.81
D,you could use just Hmm.,3446.26,3446.98
D,the same thing we used to build the big dictionary.,3447.03,3449.7
D,"You just do that on-line 'cause that won't take long to build a little dictionary that big , will it.",3449.7,3457.08
D,I mean just use the same tool that Yes we Yeah.,3457.08,3460.37
D,"use yeah ,.",3460.38,3460.83
D,Yeah.,3460.83,3461.05
B,.,3461.39,3461.39
B,So I would probably just concatenate all my Yeah.,3461.39,3465.21
B,um text chunks and then let's say m I will run over it.,3465.39,3469.04
B,Yes.,3475.13,3475.54
C,"Uh I can get all the raw text but , it has to be ordered still.",3493.64,3497.21
